speed,length,tem,y
5.875,73.275,1444.625,103.925
4.125,73.357,1444.75,103.922
4,73.427,1444.625,103.905
4.875,73.506,1444.75,103.946
4,73.569,1444.5,103.896
4.875,73.636,1444.5,103.894
4.25,73.718,1446,103.919
6.125,73.792,1444.25,103.936
6,73.892,1445.375,103.965
4.5,73.973,1444.125,103.93
8,74.055,1444.5,103.986
7.125,74.167,1445.375,104.034
7.75,74.269,1444.75,104.066
6.375,74.402,1444.75,104.088
7.875,74.513,1444.625,104.105
8,74.632,1444.75,104.124
8.125,74.762,1444.125,104.146
5.875,74.885,1444,104.1
7.625,75.072,1446.5,104.162
9.375,75.158,1446,104.178
8.25,75.311,1445.125,104.197
8.875,75.451,1444.125,104.229
10.25,75.602,1446.375,104.271
10.25,75.805,1445.125,104.269
10,75.912,1446.375,104.336
7.5,76.053,1444.625,104.279
8.5,76.191,1443.375,104.246
7.25,76.321,1443.125,104.216
8.625,76.458,1444.75,104.228
9.125,76.61,1444.625,104.235
8.75,76.754,1444.625,104.249
9.25,76.9,1444.75,104.276
9.75,77.056,1444.75,104.285
8.875,77.201,1444.75,104.259
9.375,77.389,1444.75,104.296
9.25,77.554,1444.625,104.286
10.25,77.656,1444.75,104.31
9.625,77.857,1444.625,104.289
8.25,77.947,1444.5,104.258
8.25,78.099,1446,104.253
9.25,78.257,1444.75,104.311
8.125,78.396,1444.5,104.257
8.75,78.55,1444.75,104.266
9,78.682,1444.125,104.227
10.25,78.829,1444.75,104.257
8.5,78.978,1444.75,104.251
9,79.118,1444.625,104.232
9.25,79.264,1444.125,104.242
8.625,79.408,1443.75,104.226
8.125,79.539,1444.625,104.205
6.5,79.683,1444.5,104.172
7.5,79.804,1444,104.163
9.625,79.946,1445.375,104.216
8.875,80.097,1444.875,104.211
8.5,80.239,1444.75,104.194
9,80.388,1444.875,104.208
8.875,80.525,1444.625,104.204
9.375,80.667,1444.75,104.2
9.875,80.807,1444.5,104.21
8,80.958,1444.625,104.186
8,81.081,1445.5,104.179
9,81.218,1444.125,104.176
8.125,81.351,1444.75,104.165
8.875,81.495,1444.75,104.18
6,81.635,1444.5,104.117
8.75,81.765,1444.625,104.143
7.5,81.895,1444.5,104.116
6.875,81.998,1444.5,104.072
9.75,82.119,1445,104.128
8.25,82.261,1444.75,104.133
7.25,82.393,1444.625,104.127
7.375,82.505,1444.125,104.1
7.125,82.631,1444.375,104.103
6.125,82.742,1444.5,104.058
5.875,82.847,1444.5,104.037
6.375,82.954,1444.75,104.028
8.5,83.059,1444.75,104.067
8.5,83.194,1444.375,104.092
7.75,83.322,1445.125,104.078
7.875,83.443,1444.875,104.086
9.25,83.573,1444.625,104.125
8.625,83.703,1443.875,104.114
8.125,83.859,1443.875,104.084
7.375,83.929,1443.125,104.08
7.125,84.127,1443.375,104.083
6.5,84.183,1443,104.074
7.375,84.311,1445.75,104.077
10.25,84.443,1445.75,104.139
8.375,84.594,1444.75,104.127
7.375,84.713,1444.5,104.1
9.625,84.839,1444.5,104.133
6.75,84.981,1444.875,104.091
8.25,85.099,1444.875,104.096
9,85.278,1444.75,104.113
8.75,85.418,1445.375,104.135
8.375,85.506,1444.875,104.139
8.125,85.679,1444.75,104.109
7.875,85.767,1444.375,104.101
7.75,85.939,1444.5,104.095
7.25,86.016,1444.375,104.084
9.25,86.16,1444.875,104.127
8.5,86.302,1444.75,104.127
7.5,86.43,1444.875,104.102
8,86.6,1445.375,104.098
7.375,86.691,1444.75,104.096
8.125,86.816,1444.5,104.091
6,86.944,1444.5,104.05
6.125,87.054,1444.5,104.032
9.375,87.186,1446.125,104.097
8.5,87.314,1444.625,104.074
8.625,87.435,1444.75,104.065
7.625,87.558,1444.5,104.06
8.125,87.677,1444.875,104.081
7.375,87.814,1444.875,104.084
6.5,87.938,1444.125,104.064
7.125,88.061,1444.5,104.068
7.5,88.187,1444.875,104.059
7.625,88.312,1444.25,104.065
8.375,88.445,1444.875,104.082
9.375,88.575,1444.25,104.103
9.375,88.717,1444.375,104.116
9.875,88.866,1444.5,104.141
10.125,89.019,1444.5,104.178
8.875,89.159,1444.625,104.15
9.25,89.313,1444.625,104.156
8.5,89.448,1444.5,104.122
9.5,89.59,1445.5,104.146
6.375,89.734,1445.25,104.129
7.75,89.864,1444.75,104.107
8.25,89.992,1444.25,104.092
9.375,90.136,1444.75,104.11
7.375,90.267,1444,104.075
7.5,90.383,1444.25,104.045
9.25,90.518,1444.75,104.085
8.75,90.66,1444.75,104.092
8.75,90.788,1444.875,104.093
8,90.918,1444.75,104.076
8.625,91.048,1444.5,104.091
7.375,91.19,1444.5,104.077
7.625,91.318,1445.5,104.067
9.125,91.474,1445.375,104.125
8.625,91.607,1444.75,104.097
9.375,91.758,1444.75,104.119
10.125,91.895,1444.875,104.114
7.875,92.037,1444.125,104.084
9.25,92.163,1444.375,104.09
8.5,92.358,1444.625,104.106
5.875,92.433,1444.125,104.046
8.125,92.558,1444.125,104.071
7,92.679,1443.125,104.036
8.25,92.805,1444.375,104.064
8,92.944,1444.125,104.059
7.75,93.084,1444.875,104.065
9,93.228,1443.875,104.085
9.5,93.379,1444.75,104.137
8.375,93.51,1444.875,104.097
7.5,93.626,1444.875,104.049
8.75,93.756,1444.75,104.073
7.125,93.894,1444.5,104.071
8.375,94.033,1444.75,104.083
8.25,94.171,1444.5,104.083
6.75,94.312,1444.5,104.062
7.625,94.436,1444.5,104.053
9.125,94.58,1444.75,104.079
8.125,94.72,1444.75,104.069
9.625,94.857,1445.625,104.091
8.75,94.989,1444.75,104.066
10.25,95.131,1446,104.11
8.125,95.264,1444.875,104.08
8,95.401,1445,104.086
8.125,95.539,1444.75,104.082
6.875,95.662,1444.5,104.04
6.125,95.783,1444.5,103.996
6.5,95.894,1446.125,103.993
6.25,96.009,1445,103.967
6.625,96.125,1444.625,103.971
7.375,96.237,1444.75,103.967
8,96.351,1445.75,103.986
6.375,96.439,1444.875,103.931
7,96.541,1444.625,103.934
7.125,96.651,1444.75,103.959
6.75,96.751,1444.75,103.952
5.25,96.842,1445.375,103.915
4.625,96.939,1444.875,103.899
3.25,97.016,1444.5,103.836
4.5,97.079,1444.125,103.815
6.125,97.149,1445.125,103.836
5.375,97.239,1445.875,103.844
4.875,97.358,1444.75,103.847
5.875,97.416,1444.5,103.876
5.875,97.5,1445,103.881
6.125,97.581,1445,103.892
4.625,97.665,1444,103.868
3.25,97.73,1443.375,103.811
5.625,97.816,1443.75,103.863
5.5,97.907,1443.75,103.878
6.25,98.007,1444.5,103.906
6.875,98.121,1444.875,103.939
7.25,98.235,1444.625,103.969
6.5,98.331,1444.125,103.947
7.625,98.428,1444.375,103.954
6.375,98.547,1444.875,103.955
7.375,98.649,1445.125,103.997
5.5,98.745,1446.125,103.95
5.625,98.854,1444.75,103.961
6,98.961,1444.75,103.966
7.125,99.087,1444.75,103.998
4.875,99.182,1444.75,103.935
8.625,99.308,1445,104.022
7.75,99.45,1444.875,104.035
6.75,99.554,1444.5,104.003
10.125,99.675,1444.75,104.058
7.625,99.806,1444.625,104.042
8.5,99.945,1444.75,104.079
7.875,100.066,1444.125,104.061
7,100.189,1444.75,104.051
9,100.327,1444.5,104.087
8,100.471,1444.625,104.081
8.875,100.611,1444.75,104.097
7.625,100.755,1444.125,104.082
8.125,100.887,1444,104.071
7.25,101.02,1445,104.053
9.125,101.153,1444.625,104.078
8.75,101.29,1444.875,104.079
7.75,101.404,1444.5,104.046
8,101.541,1444.875,104.073
7.375,101.662,1445.375,104.056
8.25,101.806,1446.125,104.078
7.25,101.923,1445.75,104.027
6.5,102.041,1444.75,104.012
6.875,102.167,1444.75,104.013
5.625,102.267,1443.75,103.961
6.5,102.369,1445,103.955
5.75,102.469,1444.25,103.934
5.75,102.572,1444.875,103.924
5.5,102.672,1444.5,103.925
5.25,102.742,1445.375,103.888
4.5,102.823,1444.875,103.87
5.375,102.902,1444.875,103.871
6.25,103.026,1444.75,103.909
5.125,103.081,1444.625,103.881
4.75,103.158,1444.625,103.866
4.625,103.221,1444.875,103.833
4.5,103.3,1444.875,103.84
5.5,103.393,1445.25,103.869
5.5,103.468,1444.125,103.852
5.375,103.535,1444,103.846
4.625,103.6,1444.75,103.822
4.75,103.677,1444.625,103.84
4.875,103.747,1444.375,103.844
3.5,103.819,1446.5,103.82
4,103.891,1446,103.823
5.5,103.966,1444.375,103.856
3.625,104.04,1444.75,103.826
3.875,104.103,1443.625,103.81
4.125,104.161,1444.625,103.787
5.625,104.235,1444.75,103.837
6.125,104.324,1444.375,103.872
5.75,104.391,1444.75,103.881
4.875,104.466,1444.5,103.864
6.875,104.554,1445.75,103.918
4.75,104.643,1444.875,103.9
4.625,104.729,1444.75,103.903
5.75,104.822,1444.5,103.928
5.25,104.917,1444.125,103.915
8.125,105.012,1444.75,103.975
7.25,105.14,1444.5,104.002
5.5,105.236,1444.375,103.964
6.375,105.326,1444,103.96
9.5,105.438,1444.375,104.045
7.25,105.571,1444.25,104.04
7,105.68,1443.125,104.035
6.75,105.794,1443.125,104.03
10.25,105.931,1445,104.129
8.625,106.09,1444.5,104.166
7.625,106.229,1443.875,104.141
8.875,106.367,1445.125,104.144
9.75,106.527,1444.875,104.247
9.25,106.683,1446.625,104.24
10.25,106.834,1444,104.277
10.25,106.992,1444.75,104.287
9.5,107.153,1444.75,104.322
9,107.313,1444.125,104.309
9.25,107.469,1445.75,104.369
8.875,107.63,1444.875,104.354
9.875,107.79,1444.5,104.367
7.75,107.942,1444.125,104.324
